name	particular	image	objectId	price	stack	getdesc	script	intro
Kim Sáng Dược (trung)	12	\spr\item\medecine\obj-potion01.spr	18	1	60		\script\item\potion.lua	Hồi phục khí huyết tương đối nhanh.<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +25 điểm
Kim Sáng Dược (đại)	13	\spr\item\medecine\obj-potion02.spr	307	1	60		\script\item\potion.lua	Hồi phục khí huyết cực nhanh.<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi sinh lực mỗi nửa giây: +25 điểm
Hồi Thiên đan	14	\spr\item\medecine\obj-potion02.spr	307	1	60		\script\item\potion.lua	Thần dược chữa thương, cải tử hoàn sinh<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi sinh lực mỗi nửa giây: +50 điểm
Cửu Chuyển Hoàn Hồn đan	15	\spr\item\medecine\obj-potion03.spr	310	1	60		\script\item\potion.lua	Lập tức hồi phục 5000 điểm sinh lực<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +500 điểm
Ngưng Thần đan (tiểu)	16	\spr\item\medecine\obj-potion06.spr	20	1	60		\script\item\potion.lua	Có thể hồi phục chút ít Nội lực<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi nội lực mỗi nửa giây: +5 điểm
Ngưng Thần đan (trung)	17	\spr\item\medecine\obj-potion06.spr	20	1	60		\script\item\potion.lua	Hồi phục Nội lực tương đối nhanh.<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi nội lực mỗi nửa giây: +10 điểm
Ngưng Thần đan (đại)	18	\spr\item\medecine\obj-potion07.spr	309	1	60		\script\item\potion.lua	Hồi phục Nội lực cục nhanh<enter><enter>Thời gian hiệu lực 12 giây<enter>Phục hồi nội lực mỗi nửa giây: +20 điểm
Đại Bổ tán	19	\spr\item\medecine\obj-potion07.spr	309	1	60		\script\item\potion.lua	Hồi phục Nội lục trong nháy mắt<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi nội lực mỗi nửa giây: +50 điểm
Ô đầu Hoàn thần đan	20	\spr\item\medecine\obj-potion08.spr	312	1	60		\script\item\potion.lua	Lập tức hồi phục 5000 điểm Nội lực<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi nội lực mỗi nửa giây: +500 điểm
Thừa Tiên Mật (tiểu)	21	\spr\item\medecine\obj-potion11.spr	19	1	60		\script\item\potion.lua	Đồng thời hồi phục chút ít Sinh lực và Nội lực.<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +10 điểm<enter>Phục hồi nội lực mỗi nửa giây: +6 điểm
Thừa Tiên Mật (trung)	22	\spr\item\medecine\obj-potion11.spr	19	1	60		\script\item\potion.lua	Đồng thời hồi phục nhanh Sinh lực và Nội lực.<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +25 điểm<enter>Phục hồi nội lực mỗi nửa giây: +6 điểm
Thừa Tiên Mật (đại)	23	\spr\item\medecine\obj-potion12.spr	308	1	60		\script\item\potion.lua	Đồng thời hồi phục cực nhanh Sinh lực và Nội lực.<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi sinh lực mỗi nửa giây: +25 điểm<enter>Phục hồi nội lực mỗi nửa giây: +15 điểm
Thất Khiếu Bổ tâm đan	24	\spr\item\medecine\obj-potion12.spr	308	1	60		\script\item\potion.lua	Lập tức hồi phục Sinh lực và Nội lực.<enter><enter>Thời gian hiệu lực 10 giây<enter>Phục hồi sinh lực mỗi nửa giây: +50 điểm<enter>Phục hồi nội lực mỗi nửa giây: +30 điểm
Ngũ Hoa Ngọc Lộ Hoàn	25	\spr\item\medecine\obj-potion13.spr	311	1	60		\script\item\potion.lua	Đồng thời hồi phục 5000 điểm Sinh lực và Nội lực.<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +500 điểm<enter>Phục hồi nội lực mỗi nửa giây: +500 điểm
Kim Nguyên Bảo	26	\spr\item\questkey\obj_item_cardg.spr	340	0	999			<color=#ffff00>Là tài sản được bảo chứng bởi Tiền trang</color><enter>giá trị giao dịch toàn cõi võ lâm.<enter>Có thể đến chỗ Tiền trang ở thất đại thành thị để quy đổi.
Ngân Nguyên Bảo	27	\spr\item\questkey\obj_item_cards.spr	339	0	999			Một loại bạc nén
Tinh Hồng Bảo Thạch	28	\spr\item\obj_item_red.spr	333	0	999			Một viên bảo thạch thần bì, người luyện võ có thể dùng để đả thông kinh mạch.
Lam Thủy Tinh	29	\spr\item\questkey\baoshi_zhuanxu.spr	333	0	999			Loại thủy tinh có thể làm thay đổi ngũ hành của trang bị
Tử Thủy Tinh	30	\spr\item\questkey\baoshi_xingtian.spr	333	0	999			Loại thủy tinh có thể nâng cấp trang bị
Lục Thủy Tinh	31	\spr\item\questkey\baoshi_nvwa.spr	333	0	999			Loại thủy tinh có thể giúp thay đổi các thuộc tính của trang bị
Nhạc Vương Kiếm	32	\spr\item\questkey\ÔÀÍõ½£.spr	41	0				Bội kiếm của Nhạc Phi, tín vật để kiến lập bang hội
Dã Tẩu Hoàn Thành Lệnh	33	\spr\item\da.tau.hoan.thanh.lenh.spr	41	0	999		\script\item\da.tau.hoan.thanh.lenh.lua	Sử dụng có thể lập tức hoàn thành ngay một nhiệm vụ của lão Tẩu. Mỗi ngày chỉ nhận được vài lần trợ giúp này, hãy cân nhắc!
Tiên Thảo Lộ đặc biệt	34	\spr\item\medecine\xiancaolu_sp.spr	370	0	999		\script\item\tien.thao.lo.dac.biet.lua	Tiên phẩm với hiệu quả nghịch thiên, giúp người sử dụng <color=#ffff00>tăng giới hạn kinh nghiệm</color> khi luyện công.
Tẩy Tủy Kinh	35	\spr\item\questkey\obj_item_lection.spr	341	0	999		\script\item\tay.tuy.kinh.lua	Phật gia bảo điển, sau khi đọc hiểu sẽ lĩnh hội được 5 điểm tiềm năng.
Võ Lâm Mật Tịch	36	\spr\item\questkey\obj_item_lection.spr	341	0	999		\script\item\vo.lam.mat.tich.lua	Bí quyết võ công, có ích cho các hiệp khách Võ Lâm, sau khi đọc hiểu sẽ lĩnh hội được 1 điểm kỹ năng.
Đại Thành Bí Kíp 90	37	\spr\item\questkey\quyuanmifang.spr	368	0	999		\script\item\dai.thanh.bi.kip.90.lua	Sử dụng có thể học được một kỹ năng 90 có đẳng cấp 20.
Bàn Nhược Tâm Kinh	38	\spr\item\questkey\obj_item_lection.spr	341	0	999		\script\item\ban.nhuoc.tam.kinh.lua	Phật gia Bảo điển, thường xuyên tụng niệm sẽ trừ được các điểm âm kinh nghiệm.
Thổ địa phù 1000 Lần	39	\spr\item\special\Obj_TownPortal.spr	41	0		1	\script\item\tho.dia.phu.1000.lan.lua	Một loại bùa pháp, sử dụng lập tức đưa đại hiệp về lại các điểm lưu rương.
Thổ địa phù 100 Lần	40	\spr\item\special\Obj_TownPortal.spr	41	0		1	\script\item\tho.dia.phu.100.lan.lua	Một loại bùa pháp, sử dụng lập tức đưa đại hiệp về lại các điểm lưu rương.
Tống Kim Trường Mệnh hoàn	41	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, sinh lực tăng tối đa: 500 điểm
Tống Kim Gia Bào hoàn	42	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tốc độ di chuyển tăng: 20%
Tống Kim Đại Lực hoàn	43	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, công kích vật lý tăng: 100 điểm
Tống Kim Cao Thiểm hoàn	44	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng độ công kích chính xác: 500 điểm
Tống Kim Phi Tốc hoàn	45	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng tốc độc công kích: 50%
Tống Kim Băng Phòng hoàn	46	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng phòng Băng: 50%
Tống Kim Lôi Phòng hoàn	47	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng phòng Lôi: 50%
Tống Kim Hỏa Phòng hoàn	48	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng phòng hỏa: 50%
Tống Kim Độc Phòng hoàn	49	\spr\item\medecine\obj-potion15.spr	19	1	999		\script\item\tong.kim.ho.tro.lua	Nội 5 phút, tăng phòng độc: 50%
Tống Kim Chiến cổ	50	\spr\item\songjin\wardrum.spr	384	1	999		\script\item\tong.kim.ho.tro.lua	Nội trong 3 phút, đồng đội xung quanh tăng 30% Sinh lực+ Phòng thủ
Tống Kim Lệnh bài	51	\spr\item\songjin\token.spr	385	1	999		\script\item\tong.kim.ho.tro.lua	Nội trong 3 phút, đồng đội xung quanh tăng 30% di chuyển, xuất chiêu tăng 50%.
Thanh Ngưu Giải độc tán	52	\spr\item\medecine\obj-potion23.spr	19	1	60		\script\item\potion.lua	Loại bổ dược thông thường, tác dụng không cao.
Hoắc Hương Chính khí hoàn	53	\spr\item\medecine\obj-potion24.spr	19	1	60		\script\item\potion.lua	Có chút ít tác dụng giải độc
Tam Thuận tán	54	\spr\item\medecine\obj-potion25.spr	19	1	60		\script\item\potion.lua	Giải độc rất hiệu quả
Ngân Kiều Khứ độc đan	55	\spr\item\medecine\obj-potion26.spr	19	1	60		\script\item\potion.lua	Giải độc cựu kỳ hiệu quả
Long Đàm Hóa Độc đan	56	\spr\item\medecine\obj-potion27.spr	19	1	60		\script\item\potion.lua	Không độc gì mà không thể giải
Tín Vật Môn Phái	57	\spr\item\tin.vat.mon.phai.spr	41	0				Tín vật được đảm bảo giữa các chưởng môn, người cầm vật này trên tay có thể đổi lấy một lần gia nhập môn phái bất kỳ
Tu Vi Nguyên Đơn Kỹ Năng 90(Chuyển phái)	58	\spr\item\tu.vi.nguyen.don.ky.nang.90.spr	41	0		1	\script\item\tu.vi.nguyen.don.ky.nang.90.lua	Chứa đựng toàn bộ tu vi luyện kỹ của bản thân, loại này người khác không thể sử dụng.
Tu Vi Nguyên Đơn Kỹ Năng 120(Chuyển phái)	59	\spr\item\tu.vi.nguyen.don.ky.nang.120.spr	41	0		1	\script\item\tu.vi.nguyen.don.ky.nang.120.lua	Chứa đựng toàn bộ tu vi luyện kỹ của bản thân, loại này người khác không thể sử dụng.
Lệnh bài Phong Lăng Độ	60	\spr\item\questkey\006.spr	352	0	999			Tín vật dùng để đổi lấy một lần lên thuyền sang bờ bắc Phong Lăng Độ.
Quả Huy Hoàng (thấp)	61	\spr\item\questkey\huihuangzhiguo.spr	377	0	999		\script\item\qua.huy.hoang.lua	Bảo dược quý, hấp thụ linh khí đất trời, người sử dụng nó năng lực bản thân sẽ tăng lên gấp bội phần
Quả Huy Hoàng (trung)	62	\spr\item\questkey\huihuangzhiguo.spr	377	0	999		\script\item\qua.huy.hoang.trung.cap.lua	Bảo dược quý, hấp thụ linh khí đất trời, người sử dụng nó năng lực bản thân sẽ tăng lên gấp bội phần
Quả Huy Hoàng (cao)	63	\spr\item\questkey\huihuangzhiguo.spr	377	0	999			Bảo dược quý, hấp thụ linh khí đất trời, người sử dụng nó năng lực bản thân sẽ tăng lên gấp bội phần
Quả Hoàng Kim	64	\spr\item\questkey\huangjinzhiguo.spr	377	0	999		\script\item\qua.hoang.kim.lua	Bảo dược quý, hấp thụ linh khí đất trời, người sử dụng nó năng lực bản thân sẽ tăng lên gấp bội phần
Truy Công Trạng Giảm Án Thư	65	\spr\item\truy.cong.trang.giam.an.thu.spr	352	0	999		\script\item\truy.cong.trang.giam.an.thu.lua	Xét thấy kẻ này có nhiều đóng góp cho quê hương, xã tắc. Quan phủ quyết định giảm một điểm tội danh cho hắn.\nNhân vật nào có cuốn chiếu thư này trên tay, sẽ ngay lập tức được giảm một điểm pk.
Lệnh bài vinh dự Hoàng Kim	66	\spr\item\vietnam\leaguematch\icon_league_gold.spr	385	0	999		\script\item\lenh.bai.vinh.du.lien.dau.lua	Sử dụng sẽ nhận được 500 điểm vinh dự
Lệnh bài vinh dự Bạch Ngân	67	\spr\item\vietnam\leaguematch\icon_league_silver.spr	385	0	999		\script\item\lenh.bai.vinh.du.lien.dau.lua	Sử dụng sẽ nhận được 100 điểm vinh dự
Lệnh bài vinh dự Thanh đồng	68	\spr\item\vietnam\leaguematch\icon_league_iron.spr	385	0	999		\script\item\lenh.bai.vinh.du.lien.dau.lua	Sử dụng sẽ nhận được 50 điểm vinh dự
Lệnh bài vinh dự Hàn thiết	69	\spr\item\vietnam\leaguematch\icon_league_copper.spr	385	0	999		\script\item\lenh.bai.vinh.du.lien.dau.lua	Sử dụng sẽ nhận được 10 điểm vinh dự
Điểm Kinh nghiệm	70	\spr\item\phan.thuong.diem.kinh.nghiem.spr	41	0	999	1	\script\item\phan.thuong.diem.kinh.nghiem.lua	
Huy chương Tống Kim	71	\spr\item\nanfangjiefangri_2007\songjinxunzhang.spr	41	0	999	1	\script\item\huy.chuong.tong.kim.lua	
Sát Thủ lệnh	72	\spr\item\questkey\006.spr	336	0	999			Lệnh bài nhận được khi hoàn thành nhiệm vụ hạ gục boss Sát thủ.
Thần bí đồ chí	73	\spr\item\questkey\taskobj076.spr	424	1				Một mảnh bức địa đồ Sơn Hà Xã Tắc
THẦN BÍ MẬT CHÍ	74	\spr\item\questkey\taskobj076.spr	424	1				Một mảnh bức địa đồ Sơn Hà Xã Tắc
Lệnh bài Quản lý	75	\spr\item\script\jinpai_haozhao.spr	352	0			\script\item\ad.quan.ly.lua	
Lệnh bài Chuyên môn	76	\spr\item\script\jinpai_haozhao.spr	352	0			\script\item\ad.chuyen.mon.lua	
Lệnh bài Cộng tác	77	\spr\item\script\jinpai_haozhao.spr	352	0			\script\item\ad.cong.tac.lua	
Lam Bảo Rương	78	\spr\item\newyear0901\lanbaoxiang.spr	433	0	999		\script\item\lam.bao.ruong.lua	Bảo rương chứa bí quyết của sự may mắn và thịnh vượng. Bên trong có chứa trang bị xanh ngẫu nhiên thuộc tính cùng một vài thưởng phẩm khác
Dã Tẩu Tủy Kinh	79	\spr\item\questkey\taskobj028.spr	341	0	999		\script\item\da.tau.tuy.kinh.lua	Phật gia bảo điển, nếu có thể đọc hiểu sẽ tăng kinh nghiệm rất nhanh.
Dã Tẩu Mật Tịch	80	\spr\item\yangshengmipu.spr	341	0	999		\script\item\da.tau.mat.tich.lua	Bí quyết võ công, có ích cho các hiệp khách Võ Lâm.
Kinh Nghiệm Đơn (Tống Kim)	81	\spr\item\script\zhongqiu_jieri\longzhu4.spr	41	0	999		\script\item\kinh.nghiem.don.tong.kim.lua	Quân phẩm các tráng sĩ hay dùng, sử dụng có thể ngay lập tức nhận được lượng lớn điểm kinh nghiệm
Võ Lâm Mật Lục	82	\spr\item\task\treasure5.spr	412	0	999			Chứa một phần nội dung của cuốn Võ Lâm Mật Tịch, thu thập đủ có thể lĩnh hội bí quyết võ công
Tủy Kinh Mật Lục	83	\spr\item\task\treasure6.spr	412	0	999			Chứa một phần nội dung của cuốn Tẩy Tủy Kinh, thu thập đủ có thể đả thông kinh mạch, mạnh gân cường cốt
Long Huyết Hoàn	84	\spr\item\questkey\taskobj018.spr	41	0	999		\script\item\long.huyet.hoan.lua	Nào tiểu Nhiếp Thí Trần đến đây! Sử dụng có thể tăng thêm một lượt tham gia thử thách Vượt Ải
Phú Quý Cẩm Hạp	85	\spr\item\phu.quy.cam.hap.spr	433	0	999		\script\item\phu.quy.cam.hap.lua	May mắn sẽ mỉm cười với bạn. Cấp 80 có thể thử vận may mỗi ngày, ngoài ra còn có phần thưởng khi sử dụng!
Võ Lâm Lệnh	86	\spr\item\vo.lam.lenh.spr	352	0			\script\item\vo.lam.lenh.lua	Từ cấp 80 có thể tham gia khảo nghiệm của Độc Cô Kiếm và nhận một vài phần thưởng nho nhỏ mỗi ngày. Hàng ngày sẽ nhận được một số nhiệm vụ, hoàn thành để nhận các phần thưởng, ngoài ra còn có một số hỗ trợ phẩm miễn phí
Gói Đầu Tư	87	\spr\item\goi.dau.tu.spr	433	0			\script\item\goi.dau.tu.lua	Trở thành nhà đầu tư sinh lời, một phú hào võ lâm sắp xuất hiện.
Định Quốc Bảo Rương	88	\spr\item\ruong.dinh.quoc.spr	433	0	999		\script\item\dinh.quoc.bao.ruong.lua	Bên trong có chứa một món trang bị Hoàng Kim thuộc bộ Định Quốc Hoàng Kim
Phiếu Tích Lũy Tống Kim	89	\spr\item\questkey\yinpiao.spr	41	0	999		\script\item\tong.kim.tich.luy.phieu.lua	Thế chấp bằng điểm tích lũy. Sử dụng để quy đổi thành 3500 điểm tích lũy Tống Kim
Sát Thủ Giản	90	\spr\item\questkey\taskobj033.spr	9	1	999			Mang đến gặp Nhiếp Thí Trần để nhận nhiệm vụ đặc biệt
Bạch Câu Hoàn (tiểu)	91	\spr\item\medecine\baijuwan.spr	19	0	999		\script\item\bach.cau.hoan.trainoff.lua	Sử dụng sẽ thu được 24 giờ cộng dồn thời gian Trainoff
Bạch Câu Hoàn (đại)	92	\spr\item\medecine\baijuwan_skillsp.spr	19	0	999		\script\item\bach.cau.hoan.trainoff.lua	Sử dụng sẽ thu được 30 ngày cộng dồn thời gian Trainoff
Lệnh bài Theo dõi	93	\spr\item\script\jinpai_haozhao.spr	352	0			\script\item\ad.theo.doi.lua	
Tống Kim Lễ Bao	94	\spr\item\twzhuanyun\zhuanyunbao_small.spr	449	0	999		\script\item\tong.kim.le.bao.lua	Một phần lễ phẩm từ Quân nhu quan dành cho các tráng sĩ có đóng góp nổi bật trong trận chiến vừa rồi. Bên trong có chứa kỳ trân dị bảo
Tiểu Thành Bí Kíp 90	95	\spr\item\questkey\treasuremap.spr	368	0	999		\script\item\tieu.thanh.bi.kip.lua	Rất có ích cho người luyện công, sử dụng để nâng tu vi của kỹ năng 90 lên 11 cấp
Kỹ Năng Đơn 90	96	\spr\item\questkey\taskobj144.spr	41	0	999		\script\item\ky.nang.dan.90.lua	Đan dược được luyện chế từ các bậc kỳ tài võ học, cực kỳ có lợi cho người luyện kỹ năng 90, sử dụng lập tức tăng một cấp tu vi kỹ năng
Mã Bài 80	97	\spr\item\ma.bai.8x.spr	352	0	999		\script\item\ma.bai.80.lua	Lệnh bài triệu hồi một chiến mã cấp 80
Bánh Chưng (Ngũ Quả)	98	\spr\item\banh.chung.spr	366	0	250		\script\item\banh.chung.lua	Lễ phẩm trong ngày tết cổ truyền\nSử dụng sẽ nhận được 1 điểm kỹ năng, giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Bánh Tét (Ngũ Quả)	99	\spr\item\banh.tet.spr	439	0	255		\script\item\banh.tet.lua	Lễ phẩm trong ngày tết cổ truyền\nSử dụng sẽ nhận được 5 điểm tiềm năng giới hạn mỗi nhân vật chỉ sử dụng được 1 cái
Túi Tử Mẫu (30 ngày)	100	\spr\item\tui.tu.mau.spr	41	0	999		\script\item\tui.tu.mau.lua	Giúp mở thêm 36 ô trống trong hành trang có thời hạn sử dụng trong 30 ngày
Kim Huyền Thiết	101	\spr\item\kim.huyen.thiet.spr	425	0	999			Một loại nguyên liệu giúp cho các thợ rèn có thể rèn lại binh khí cũ sang một hình thức binh khí khác mà vẫn giữ nguyên đẳng cấp và thuộc tính ma pháp
Chiến Hồn Chiếu Dạ	102	\spr\item\chien.hon.chieu.da.spr	425	0	999			Chứa một tia phân hồn của chiến mã Chiếu Dạ Ngọc Sư Tử vang danh võ lâm, nghe nói Thẩm công tử tại Nam Nhạc Trấn có thể triệu hồi chiến mã nếu đủ số lượng chiến hồn
Chiến Hồn Phi Vân	103	\spr\item\chien.hon.phi.van.spr	425	0	999			Chứa một tia phân hồn Phi Vân vang danh của Chu Mục Vương, nghe nói Thẩm công tử tại Nam Nhạc Trấn có thể triệu hồi chiến mã nếu đủ số lượng chiến hồn
Mảnh Ngọc Bội Hiệp Cốt	104	\spr\item\manh.hiep.cot.spr	425	0	999			Một mảnh của Tình ý Kết thuộc bộ trang bị Hiệp Cốt, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh Áo Định Quốc	105	\spr\item\manh.dinh.quoc.spr	425	0	999			Một mảnh của Thanh Sa Trường Sam thuộc bộ trang bị Định Quốc, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh Nón Định Quốc	106	\spr\item\manh.dinh.quoc.spr	425	0	999			Một mảnh của Ô Sa Phát Quán thuộc bộ trang bị Định Quốc, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh Áo Nhu Tình	107	\spr\item\manh.hiep.cot.spr	425	0	999			Một mảnh của Cân Quốc Nghê Thường thuộc bộ trang bị Nhu Tình, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Mảnh Ngọc Bội Nhu Tình	108	\spr\item\manh.hiep.cot.spr	425	0	999			Một mảnh của Tuệ Tâm Ngọc Bội thuộc bộ trang bị Nhu Tình, thu thập đủ số lượng có thể đến chỗ Thợ Rèn Thần Bí ở Lâm An để ghép lại
Hồng Ảnh Bảo Rương (20 ngày)	109	\spr\item\ruong.hong.anh.spr	433	0	999		\script\item\hong.anh.bao.ruong.lua	Bên trong có chứa một món trang bị Hồng Ảnh thuộc bộ Hồng Ảnh Hoàng Kim
Thẻ Chuyển Giới	110	\spr\item\lenh.bai.chuyen.gioi.spr	352	0	999			Tùy vào mục đích của người sử dụng mà có thể thay đổi giới tính, tuy nhiên nhân vật mệnh Kim không thể chuyển sang Nữ, và nhân vật mệnh Thủy không thể chuyển sang Nam
Ngân Lượng Lễ Bao	111	\spr\item\ngan.luong.le.bao.spr	41	0	999		\script\item\ngan.luong.le.bao.lua	Một lễ bao ngân lượng lớn, bên trong có chứa khoảng 1000 vạn lượng đến 1500 vạn lượng
Túi Y Tế (sự kiện)	112	\spr\item\tui.y.te.spr	41	0	999		\script\item\tui.y.te.lua	Sử dụng để nhận được hiệu ứng hồi phục liên tục trong 12 giờ, hỗ trợ quá trình luyện công
Gà Lôi	113	\spr\item\ga.loi.spr	41	0	999		\script\item\ga.loi.lua	Sau khi sử dụng sẽ <color=#ffff00>tăng giới hạn kinh nghiệm</color> luyện công thêm 30 triệu điểm, có thể dùng chung với Tiên Thảo Lộ đặc biệt
Lệnh Bài Boss Tiểu	114	\spr\item\lenh.bai.boss.tieu.spr	352	0	999		\script\item\lenh.bai.boss.tieu.hk.lua	Gửi lời khiêu chiến ngẫu nhiên đến thập đại môn phái, sau khi sử dụng boss Tiểu Hoàng Kim sẽ xuất hiện
Kim Tê	115	\spr\item\kim.te.spr	425	0	999			Một loại kim khoáng quý hiếm, cực kỳ hữu ích trong việc giúp các thợ rèn nâng cấp đẳng cấp của binh khí mà vẫn giữ nguyên thuộc tính ma pháp
Nam Minh Chi Tinh	116	\spr\item\nam.minh.chi.tinh.spr	425	0	999			Một loại khoáng thạch giúp cho các thợ rèn có thể hạ cấp đẳng cấp của trang bị mà vẫn giữ nguyên thuộc tính ma pháp
Ngũ Hành Kỳ Thạch	117	\spr\item\ngu.hanh.ky.thach.spr	425	0	999			Một loại khoáng thạch giúp cho các thợ rèn có thể nâng cấp đẳng cấp của trang bị mà vẫn giữ nguyên thuộc tính ma pháp
Thiên Xuân Tửu	118	\spr\item\thien.xuan.tuu.spr	376	0	999		\script\item\thien.xuan.tuu.lua	Một loại rượu thượng hạng được ủ ngàn năm, thường được dùng làm cống phẩm tiến cung. Người sử dụng trong lúc say có thể lĩnh hội 200 triệu điểm kinh nghiệm (cộng dồn), tuy nhiên mỗi tháng chỉ nên sử dụng 1 lần
Rượu Mao Đài	119	\spr\item\ruou.mao.dai.spr	376	0	999		\script\item\ruou.mao.dai.lua	Loại tửu vang danh gần xa, rất thích hợp để uống cùng đồng đội. Sau khi sử dụng nội trong 1 giờ bản thân và tổ đội sẽ nhận được thêm 30 điểm may mắn, có thể dùng chung với QHT và TSBL
Túi Lộc Mừng Xuân	120	\spr\item\tui.loc.mung.xuan.spr	41	1	250		\script\item\tui.loc.mung.xuan.lua	Vật phẩm sự kiện Ngũ Quả Mừng Xuân, bên trong có chứa nguyên liệu cần thiết để ghép thành mâm ngũ quả
Mãng Cầu	121	\spr\item\mang.cau.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Trái Dừa	122	\spr\item\trai.dua.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Đu Đủ	123	\spr\item\du.du.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
Trái Xoài	124	\spr\item\trai.xoai.spr	41	1	250			Vật phẩm sự kiện Ngũ Quả Mừng Xuân, nguyên liệu để hợp thành mâm ngũ quả
